Christian Code,DrugBank ID,AE(kcal/mol) 4NQC,AE(kcal/mol) 5U72,MEDIA GEO EA,SMILES,Common name
db3719,DB04862,"-8,5","-8,9","-8,70",COC1=C(C=CC(NC(=O)NC2=CC=CC(CNC(=O)O[C@H]3CCOC3)=C2)=C1)C1=CN=CO1,Merimepodib
db3720,DB04863,"-7,5","-7,9","-7,70",COC(=O)C[C@@H]1C[C@@H](COC2=CC=C(C=C2)C2=CC=C(C=C2)C(\N)=N\C(=O)OC)NC1=O,Lefradafiban
db3723,DB04866,"-7,8","-7,7","-7,75",[H][C@]1(O)CCCN[C@]1([H])CC(=O)CN1C=NC2=C(C=C(Cl)C(Br)=C2)C1=O,Halofuginone
db3724,DB04867,"-8,6","-8,9","-8,75",OC(=O)CN1C(=CC2=CC=CC=C12)C(=O)NC1=NC(=CS1)C1=CC=CC=C1Cl,Lintitript
db3725,DB04868,"-9,6","-10,6","-10,09",CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)=CC(=C1)C(F)(F)F,Nilotinib
db3727,DB04872,"-7,5","-8,8","-8,12",CN(C(C)=O)C1(CCN(CCC[C@@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1,Osanetant
db3728,DB04873,"-8,4",-9,"-8,69",CCCCN1CCC(CNC(=O)C2=C3OCCCN3C3=CC=CC=C23)CC1,Piboserod
db3729,DB04875,"-8,8","-8,4","-8,60",CCO[C@@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN2N1C(=O)[C@H](CCC2=O)NC(=O)C1=NC=CC2=CC=CC=C12,Pralnacasan
db3732,DB04879,"-9,8",-9,"-9,39",ClC1=CC=C(NC2=NN=C(CC3=CC=NC=C3)C3=CC=CC=C23)C=C1,Vatalanib
db3734,DB04881,"-10,1","-9,5","-9,80",COC1=CC=CC2=C1NC1=C(C=CC=C1C(=O)NC1=CC=C(CCN3CCC4=CC(OC)=C(OC)C=C4C3)C=C1)C2=O,Elacridar
db3736,DB04883,"-6,9",-9,"-7,88",COC1=CC(OC)=NC(O[C@H](C(O)=O)C(OC)(C2=CC=CC=C2)C2=CC=CC=C2)=N1,Darusentan
db3737,DB04884,"-7,6","-8,7","-8,13",CN(C)[C@@H](CCOC1=CC=CC2=CC=CC=C12)C1=CC=CC=C1,Dapoxetine
db3738,DB04885,"-7,1",-9,"-7,99",CC1=NC=CN1C[C@H]1CCC2=C(C3=CC=CC4=C3N2CCC4)C1=O,Cilansetron
db3739,DB04886,-7,"-9,3","-8,07",CCCC1=CC(=O)OC2=C1C1=C(C=CC(C)(C)O1)C1=C2[C@@H](O)[C@H](C)[C@@H](C)O1,Calanolide A
db3740,DB04888,"-9,2","-9,9","-9,54",O=C1NC2=C(O1)C(=CC=C2)N1CCN(CC2=CC(=CC=C2)C2=CC=CC=C2)CC1,Bifeprunox
db3741,DB04889,"-8,2","-7,3","-7,74",CC1=CC=C(C=C1)C12CC1CNC2,Bicifadine
db3742,DB04890,"-7,1","-8,1","-7,58",OC(=O)CCCN1CCC(CC1)OC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,Bepotastine
db3744,DB04892,"-7,9","-8,7","-8,29",[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC3=CC=CC=C3)=C1)N2C,Phenserine
db3746,DB04898,"-7,5",-9,"-8,22",CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCC1=CC=C(C=C1)C(\N)=N\O)C1CCCCC1,Ximelagatran
db3747,DB04903,-8,"-8,5","-8,25",CC(C)CCC(=O)CC1N(C(=O)C2=CC=CC=C12)C1=NC2=C(C=CC(Cl)=N2)C=C1,Pagoclone
db3748,DB04905,"-8,7","-7,5","-8,08",CCN(CC)CCOC1=CC=C(CC2=CC=CC=C2)C=C1,Tesmilifene
db3749,DB04908,"-9,1","-9,3","-9,20",FC(F)(F)C1=CC(=CC=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1,Flibanserin
db3750,DB04909,"-7,8","-7,4","-7,60",CCN(CC)CCCCCCNC1=CC(OC)=CC2=C(C)C=CN=C12,Sitamaquine
db3752,DB04915,"-9,1","-8,4","-8,74",OC1=CC=C(C=C1)C1=CC2=C(OC1)C=C(O)C=C2,Idronoxil
db3757,DB04930,"-9,1","-8,9","-9,00",CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1,Permethrin
db3760,DB04942,"-8,5","-7,9","-8,19",CC1(C)CCC(C)(C)C2=C1C=CC(NC(=O)C1=CC=C(C=C1)C(O)=O)=C2,Tamibarotene
db3762,DB04946,"-8,9","-8,8","-8,85",COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O,Iloperidone
db3765,DB04951,"-8,2","-7,2","-7,68",CC1=CN(C(=O)C=C1)C1=CC=CC=C1,Pirfenidone
db3766,DB04953,"-9,1",-8,"-8,53",CCOC(=O)NC1=C(N)C=C(NCC2=CC=C(F)C=C2)C=C1,Ezogabine
db3768,DB04957,-9,"-9,3","-9,15",CN1CCN(CCCCN2C(=O)CN(N=CC3=CC=C(O3)C3=CC=C(Cl)C=C3)C2=O)CC1,Azimilide
db3769,DB04960,"-7,9","-7,9","-7,90",CN1C=NC=C1[C@@](N)(C1=CC=C(Cl)C=C1)C1=CC2=C(C=C1)N(C)C(=O)C=C2C1=CC(Cl)=CC=C1,Tipifarnib
db3773,DB04971,"-9,4",-9,"-9,20",CC1=C(CCOC2=CC=C(CC3C(=O)NOC3=O)C=C2)N=C(O1)C1=CC=CC=C1,Reglitazar
db3775,DB04982,"-7,1","-8,1","-7,58",C[C@@H]1CC2=CC3=C(OCO3)C=C2C(=NN1C(C)=O)C1=CC=C(N)C=C1,Talampanel
db3776,DB04983,"-7,6","-8,5","-8,04",[H]N([H])C1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)N([H])C2=O)O1,Denufosol
db3780,DB05015,"-8,5",-8,"-8,25",ONC(=O)\C=C\C1=CC=CC(=C1)S(=O)(=O)NC1=CC=CC=C1,Belinostat
db3781,DB05016,"-8,7","-8,6","-8,65",OC(=O)C1=CC=CC(=C1)C1=NOC(=N1)C1=CC=CC=C1F,Ataluren
db3783,DB05022,"-8,2","-7,7","-7,95",CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,Amonafide
db3785,DB05035,"-8,5",-8,"-8,25",CC(C)C1=CC(OC2=C(Br)C=C(NC(=O)CC(O)=O)C=C2Br)=CC=C1O,Eprotirome
db3786,DB05038,"-9,4","-10,3","-9,84",CC1=CC(C)=C2C=CC=C(OCC3=C(Cl)C=CC(=C3Cl)S(=O)(=O)N3CCC[C@H]3C(=O)NCCCNC(=O)C3=CC=C(C=C3)C(N)=N)C2=N1,Anatibant
db3787,DB05039,"-9,6","-8,5","-9,03",CCC1=C(CC)C=C2CC(CC2=C1)NC[C@H](O)C1=C2C=CC(=O)NC2=C(O)C=C1,Indacaterol
db3788,DB05047,"-7,7","-7,6","-7,65",O=C(N1CCOCC1)C1=CC2=NON=C2C=C1,CX717
db3789,DB05048,"-7,6","-8,1","-7,85",CCCCCCC(C)(C)C1=CC(O)=C([C@H]2CC(=O)[C@H]3C[C@@H]2C3(C)C)C(OC(=O)\C=C\C(O)=O)=C1,Cannabinor
db3792,DB05075,"-8,9","-10,2","-9,53",CC1=C2N=C(NC3=CC=C(OCCN4CCCC4)C=C3)N=NC2=CC(=C1)C1=CC(OC(=O)C2=CC=CC=C2)=CC=C1Cl,TG-100801
db3793,DB05076,"-7,6","-8,9","-8,22",C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(=O)NC1=CC=C(O)C=C1,Fenretinide
db3798,DB05104,"-6,8","-8,5","-7,60",CN([C@H](CN1CC[C@H](O)C1)C1=CC=CC=C1)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,Asimadoline
db3799,DB05105,"-9,1","-8,3","-8,69",CC1=NOC(CCCOC2=C(C)C=C(C=C2C)C2=NOC(=N2)C(F)(F)F)=C1,Pleconaril
db3801,DB05116,"-8,2","-8,2","-8,20",COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O)OC1=CC=CC=C1,Thymectacin
db3803,DB05129,"-7,4","-7,7","-7,55",CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,Elsamitrucin
db3805,DB05137,"-8,4","-8,9","-8,65",CN1[C@H](C[C@H](O)C2=CC=CC=C2)CCC[C@@H]1CC(=O)C1=CC=CC=C1,Lobeline
db3808,DB05154,-7,"-8,1","-7,53",[O-][N+](=O)C1=CN2C[C@@H](COC2=N1)OCC1=CC=C(OC(F)(F)F)C=C1,Pretomanid
db3809,DB05171,"-8,5","-8,6","-8,55",[H]\C(C1=CC(OC)=C(C=C1)N1C=NC(C)=C1)=C1\CCCN(C1=O)[C@@]([H])(C)C1=CC=C(F)C=C1,E-2012
db3812,DB05197,-9,"-8,7","-8,85",CC(C)=CCOC1=CC=C(\C=C\C(=O)C2=C(OCC(O)=O)C=C(OCC=C(C)C)C=C2)C=C1,Sofalcone
db3814,DB05220,"-8,5","-8,9","-8,70",COC1=CC(NC2=NC=C3CN=C(C4=C(C=CC(Cl)=C4)C3=N2)C2=C(F)C=CC=C2OC)=CC=C1C(O)=O,Alisertib
db3816,DB05234,"-7,1","-8,8","-7,90",C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1C1=CC2=C(NC(=O)C=C2C(F)(F)F)C=C1,LGD2941
db3817,DB05239,"-7,6","-8,5","-8,04",OC1(CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1)[C@@H]1CCCCN1,Cobimetinib
db3818,DB05246,-8,"-8,3","-8,15",CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,Methsuximide
db3819,DB05252,"-8,1","-7,9","-8,00",CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,Fenoxaprop-ethyl
db3821,DB05255,"-8,8","-8,7","-8,75",CC(C)(CC1CC2=C(C1)C=CC=C2)NC[C@@H](O)COC1=CC(CCC(O)=O)=CC(F)=C1F,Ronacaleret
db3823,DB05263,"-7,3","-8,6","-7,92",CCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](C[C@@H]5O[C@]6(CC[C@@H](C)CO6)[C@@H](C)[C@H]45)[C@@H]3CC=C2C1,Caprospinol
db3825,DB05266,"-7,8",-8,"-7,90",CC(C)C(=O)C1=C2C=CC=CN2N=C1C(C)C,Ibudilast
db3827,DB05284,"-8,2","-7,2","-7,68",COC1=CC(=CC(OC)=C1OC)[C@@H](O)CC1=CC(O)=C(OC)C=C1,CA4P
db3829,DB05289,"-9,1","-8,6","-8,85",C[C@@H](C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,Tarenflurbil
db3830,DB05294,-8,"-8,4","-8,20",COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1,Vandetanib
db3833,DB05316,"-7,2","-8,3","-7,73",CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1,Pimavanserin
db3836,DB05351,"-7,3",-8,"-7,64",CC1=C(OCC(F)(F)F)C=CN=C1C[S@@](=O)C1=NC2=CC=CC=C2N1,Dexlansoprazole
db3837,DB05377,"-7,7","-7,5","-7,60",ClC1=CC=C(OS(=O)(=O)C2=CC=C(Cl)C=C2)C=C1,Chlorfenson
db3841,DB05395,"-7,3","-8,6","-7,92",CCOC(=O)COC1=CC=C2CC[C@@H](CC2=C1)NC[C@H](O)C1=CC=CC(Cl)=C1,Amibegron
db3843,DB05408,"-9,2","-9,6","-9,40",C[C@H](NC(=O)C(=O)NC1=CC=CC=C1C(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)COC1=C(F)C(F)=CC(F)=C1F,Emricasan
db3844,DB05409,"-8,4","-7,2","-7,78",CC(=O)NC1=CC=C(OC(=O)CCCO[N+]([O-])=O)C=C1,NCX 701
db3845,DB05412,-9,"-9,3","-9,15",[H][C@]1(C)CN(C(=O)C2=C(Cl)C=C3N(C)C=C(C(=O)C(=O)N(C)C)C3=C2)[C@]([H])(C)CN1CC1=CC=C(F)C=C1,Talmapimod
db3846,DB05414,"-7,6","-8,4","-7,99",CC1=C(N(CC2=CC=C(OCCN3CCCCC3)C=C2)C2=C1C=C(O)C=C2)C1=CC=C(O)C=C1,Pipendoxifene
db3847,DB05416,"-8,3","-8,3","-8,30",CC1=C(CSC2=CC(C)=C(OCC(O)=O)C=C2)SC(=N1)C1=CC=C(C=C1)C(F)(F)F,Cardarine
db3848,DB05421,"-8,3","-8,3","-8,30",COC1=CC=C(OC(F)(F)F)C=C1CN[C@H]1CCCN[C@H]1C1=CC=CC=C1,CP-122721
db3849,DB05422,"-8,4","-8,7","-8,55",COC1=CC=CC2=C1CCC(=O)N2CCCN1CCN(CC1)C1=CC=CC(Cl)=C1,OPC-14523
db3850,DB05423,"-7,3","-9,5","-8,33",CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)C1=CC=C2OCOC2=C1,ORG-34517
db3851,DB05424,"-7,7","-8,3","-7,99",FC1=C(Cl)C=C(NC2=NC=NC3=CC(OCCCN4CCOCC4)=C(NC(=O)C=C)C=C23)C=C1,Canertinib
db3852,DB05431,"-9,3","-7,4","-8,30",[H][C@@]1(COC2=CC=C(F)C=C2)CC[C@]([H])(O1)C#CCCN(O)C(O)=N,MLN-977
db3857,DB05450,"-6,8","-8,8","-7,74",[H][C@]12C[C@@]3([H])[C@]4([H])CC[C@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@@H](C)CO1)O2,Smilagenin
db3858,DB05454,"-8,7","-9,7","-9,19",FC(F)(F)C1=CC(=CC=C1)C1=CCN(CCC2=CC=C(C=C2)C2=CC=CC=C2)CC1,Paliroden
db3860,DB05462,"-6,9","-8,4","-7,61",CCC(C(C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,Chlorotoxin I-131
db3861,DB05465,-8,"-8,5","-8,25",COC1=C(OCCCN2CCCCC2)C=C2N=CN=C(N3CCN(CC3)C(=O)NC3=CC=C(OC(C)C)C=C3)C2=C1,Tandutinib
db3862,DB05470,"-6,7","-9,6","-8,02",NC(=O)N(C1=CC=C(C(N)=O)C(=N1)C1=CC=C(F)C=C1F)C1=C(F)C=CC=C1F,VX-702
db3863,DB05475,"-8,8",-8,"-8,39",N[C@H](CCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O)C(O)=O,Golotimod
db3864,DB05482,"-7,6","-8,4","-7,99",CCC1=C2C=C(O)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O,7-ethyl-10-hydroxycamptothecin
db3865,DB05490,"-7,9","-9,5","-8,66",ClC1=CC=C(C(Cl)=C1)S(=O)(=O)NC1=CC(Cl)=C(OC2=CN=C3C=CC=CC3=C2)C(Cl)=C1,AMG-131
db3867,DB05498,-7,"-8,2","-7,58",C[C@](O)(C(=O)NC1=CC=CC2=C1C(=O)C1=C(CS2(=O)=O)C=CS1)C(F)(F)F,KW-7158
db3868,DB05501,"-7,1","-8,2","-7,63",NCCCCN(CC1=NC2=CC=CC=C2N1)[C@H]1CCCC2=C1N=CC=C2,-AMD 70.00
db3869,DB05511,-8,"-8,3","-8,15",CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(NCC3=CC(I)=CC=C3)N=CN=C12,Piclidenoson
db3871,DB05514,"-8,4","-7,5","-7,94",CC[C@H](C)CC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(O)=O)O1,Cobiprostone
db3874,DB05524,"-7,7","-7,5","-7,60",CCOC1=CC2=C(C=C1NC(=O)\C=C\CN(C)C)C(NC1=CC(Cl)=C(F)C=C1)=C(C=N2)C#N,Pelitinib
db3876,DB05532,"-8,1","-8,7","-8,39",COC1=C2C(NC=C2C(=O)C(=O)N2CCN(CC2)C(=O)C2=CC=CC=C2)=C(OC)N=C1,BMS-488043
db3881,DB05553,"-8,2","-9,4","-8,78",[H][C@]12O[C@@H](O[C@@]1([H])[C@@H](O[C@@H]2COP(O)(O)=O)N1C=NC2=C1N=CN=C2NC(=O)NCC)\C=C\C1=CC=CC=C1,Regrelor
db3882,DB05562,"-7,8","-9,1","-8,42",CC(=O)NC1=CC=CC(=C1)N1CCN(CCCCNS(=O)(=O)CC2CCCCC2)CC1,Naluzotan
db3884,DB05575,-9,"-8,4","-8,69",CC1(C)CNC2=C1C=CC(=C2)N=C(O)C1=C(NCC2=CC=NC=C2)N=CC=C1,Motesanib
db3885,DB05585,"-8,8","-8,7","-8,75",COC1=CC=C(C=C1)N(C)C1=NC(C)=NC2=C1C=CC=C2,Verubulin
db3886,DB05586,"-7,4",-8,"-7,69",[H]N([C@@H]1CN2CCC1CC2)C(=O)C1=NN([H])C2=CC=CC=C12,Facinicline
db3887,DB05590,"-7,9",-9,"-8,43",CN(C)C(=O)COC1=CC=C2CC[C@@H](CC2=C1)NC[C@H](O)C1=CC=C(O)C(CCO)=C1,Bedoradrine
db3888,DB05592,"-6,7","-8,4","-7,50",CN(C)CC1CCOC1(C1=CC=CC=C1)C1=CC=CC=C1,Blarcamesine
db3890,DB05608,"-6,8","-10,2","-8,33",CN1C=C(C2=CC=CC=C12)C1=C(C(=O)NC1=O)C1=CN(C)C2=CC(=CC=C12)[N+]([O-])=O,MKC-1
db3891,DB05611,"-9,6","-9,3","-9,45",CC1=CC=CC(\C=N\NC2=CC(=NC(OCCC3=CC=CC=N3)=N2)N2CCOCC2)=C1,Apilimod
db3892,DB05616,-9,"-8,9","-8,95",OC(=O)C(CC(=C)C(O)=O)NC(=O)C1=CC=C(CCC2=CC3=C(NC(=N)NC3=N)C=C2)C=C1,"4'-Methylene-5,8,10-trideazaaminopterin"
db3897,DB05653,"-7,2","-8,4","-7,78",CC1(C)CCC(C)(C)C2=C1C=C(C(=O)NC1=CC(F)=C(C(O)=O)C(F)=C1)C(O)=C2Cl,IRX-5183
db3898,DB05659,"-7,8","-7,9","-7,85",[H][C@]12SC(=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(=O)OCC1=C(C)OC(=O)O1)[C@@]1([H])CCCO1,Faropenem medoxomil
db3899,DB05667,"-7,1",-9,"-7,99",CC(=O)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,Levoketoconazole
db3901,DB05676,"-6,6","-8,6","-7,53",[H][C@](CS(C)(=O)=O)(N1C(=O)C2=C(C1=O)C(=CC=C2)N=C(C)O)C1=CC(OCC)=C(OC)C=C1,Apremilast
db3902,DB05678,-9,"-10,4","-9,67",COC1=CC=CC(C(O)=NC2=CC=C3CN(CCC3=C2)C(=O)OC2=CC=CC=C2)=C1C1=CC=C(C=C1)C(F)(F)F,SLx-4090
db3905,DB05695,"-10,1","-8,8","-9,43",CC(C)(CC1=CC=C2C=CC=CC2=C1)NC[C@@H](O)COC1=CC=CC(Cl)=C1C#N,NPS-2143
db3907,DB05708,"-8,5","-7,9","-8,19",[H]\C(=C1\CCCN=C1C1=CN=CC=C1)C1=C(OC)C=C(OC)C=C1,GTS-21
db3908,DB05713,"-7,5","-9,6","-8,49",CN1CCC(CC1)N1CCN(CC1)C(=O)[C@H](NC(=O)C1=CC=C2C=CNC2=C1)C1=CC=CC=C1,LY-517717
db3909,DB05719,"-8,1","-7,9","-8,00",CN(NC(=O)CC(=O)NN(C)C(=S)C1=CC=CC=C1)C(=S)C1=CC=CC=C1,Elesclomol
db3910,DB05737,"-7,1","-8,2","-7,63",CCC1=C(C(=O)C(N)=O)C2=C(OCC(=O)OC)C=CC=C2N1CC1=CC=CC=C1,Varespladib methyl
db3914,DB05779,"-8,6","-8,2","-8,40",N[C@@H](CCC(O)=O)C(O)=N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,Oglufanide
db3917,DB05796,"-8,9","-9,5","-9,20",CCOC(=O)[C@H](CCC1=CC=CC=C1)CC1(CCCC1)C(=O)N[C@H]1CCC2=CC=CC=C2N(CC(O)=O)C1=O,Daglutril
db3922,DB05812,"-6,8","-9,9","-8,20",[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,Abiraterone
db3927,DB05835,"-8,8","-10,2","-9,47",FC(F)(F)C1=CC(=CC(NC(=O)NC2=C(C=CC(Br)=C2)C2=NNN=N2)=C1)C(F)(F)F,NS-3728
db3928,DB05838,"-7,4","-8,1","-7,74",CC(C)NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,OPC-51803
db3930,DB05861,"-7,6","-7,9","-7,75",COC1=CC=CC2=C1C(O)=C(C(=O)N(C)C1=CC=C(C=C1)C(F)(F)F)C(=O)N2C,Tasquinimod
db3937,DB05913,"-10,1","-8,9","-9,48",FC(F)(F)OC1=CC=C(NC(=O)C2=C(NCC3=CC=NC4=CC=CC=C34)C=CS2)C=C1,OSI-930
db3938,DB05932,"-8,4","-7,3","-7,83",[H][C@@](C)(N)C(=O)NC1=CC=C(SC2=CC3=C(C=C2)N=C(N3)N=C(O)OC)C=C1,Denibulin
db3939,DB05936,"-9,8","-9,1","-9,44",CCCN1C(=O)N(CC)C2=C(NC(=N2)C2=CN(CC3=CC=CC(=C3)C(F)(F)F)N=C2)C1=O,CVT-6883
db3943,DB05944,"-8,2",-9,"-8,59",C[C@@H]1COC(NC2=CC=C3N=CN=C(NC4=CC=C(OCC5=NC=CS5)C(Cl)=C4)C3=C2)=N1,Varlitinib
db3944,DB05959,"-7,3","-8,6","-7,92",COC1=C(C=C2CC[C@H]3[C@@H]4CC=C[C@@]4(C)CC[C@@H]3C2=C1)C(N)=O,ENMD-1198
db3945,DB05964,"-8,1","-7,2","-7,64",[H][C@]12C[C@]1(CNC2)C1=CC(Cl)=C(Cl)C=C1,Amitifadine
db3948,DB05973,"-8,1","-7,1","-7,58",O[C@@H]1[C@@H](COS(O)(=O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,Inosine 5'-sulfate
db3949,DB05974,"-8,1","-7,5","-7,79",C\C(\C=C\C=C(/C)C(O)=O)=C/C=C/C=C(\C)/C=C/C=C(\C)C(O)=O,Transcrocetinate
db3950,DB05983,"-7,4",-8,"-7,69",COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,Bardoxolone methyl
db3951,DB05984,"-9,2","-9,5","-9,35",CN1C(NC2=CC=C(C=C2)C(F)(F)F)=NC2=CC(OC3=CC=NC(=C3)C3=NC=C(N3)C(F)(F)F)=CC=C12,RAF-265
db3953,DB05992,"-8,2","-8,8","-8,49",CC(C)(C)C1=C(\C=C2/NC(=O)\C(NC2=O)=C\C2=CC=CC=C2)N=CN1,Plinabulin
db3954,DB06011,"-8,9","-8,2","-8,54",[H][C@](C)(CC1(C2=NNN=N2)C2=CC=C(C=C2CCC2=CC(=CC=C12)C(=O)N(C)C)C(=O)N(C)C)NCC(=O)N1CCC[C@@]1([H])C#N,AMG-222
db3955,DB06040,"-7,2","-8,5","-7,82",CON(C)C(=O)N1N=C(S[C@@]1(CCCN)C1=CC=CC=C1)C1=CC(F)=CC=C1F,Filanesib
db3958,DB06077,"-9,1","-8,7","-8,90",[H][C@]12CCN(CCCC(=O)C3=CC=C(F)C=C3)C[C@@]1([H])C1=CC=CC3=C1N2CCN3C,Lumateperone
db3960,DB06090,"-8,2","-8,3","-8,25",[H][C@@]1(CC2=CC=CN=C2)N2CCC(CC2)[C@@]1([H])NC(=O)C1=CC2=C(O1)C=CC=C2,Bradanicline
db3962,DB06106,"-7,6","-7,4","-7,50",O=C(CCN1C=NC2=C1NC=NC2=O)NCCCN1CCCC1=O,AIT-034
db3965,DB06119,"-8,3","-7,5","-7,89",NC(=O)O[C@@H](CN1N=CN=N1)C1=CC=CC=C1Cl,Cenobamate
db3967,DB06133,-8,"-7,6","-7,80",COC1=CC=C(\C=C\C(\O)=C\C(=O)\C=C\C2=CC(OC)=C(OC)C=C2)C=C1OC,Dimethylcurcumin
db3968,DB06134,"-7,5","-8,5","-7,98",ClC1=CC=CC(NC(=O)NC2=NC=C(CCNC3=C4SC=CC4=NC=N3)S2)=C1,SNS-314
db3969,DB06137,"-8,5",-9,"-8,75",O=C(CC1=CC=C(C=N1)C1=CC=C(OCCN2CCOCC2)C=C1)NCC1=CC=CC=C1,KX-01
db3970,DB06140,"-7,7","-8,9","-8,28",COC1=CC=C2N(C=C(CN3CCN(C)CC3)C2=C1)S(=O)(=O)C1=CC=CC=C1Br,SUVN-502
db3971,DB06144,"-7,1","-8,6","-7,81",FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2,Sertindole
db3976,DB06152,"-8,2","-8,1","-8,15",CC(CCC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1,Nylidrin
db3979,DB06155,"-7,1","-8,5","-7,77",CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=C(Cl)C=C(Cl)C=C1)C1=CC=C(Cl)C=C1,Rimonabant
db3982,DB06159,"-7,9","-8,4","-8,15",CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC=C(C1=C3)[N+]([O-])=O)C2=O,Rubitecan
db3983,DB06160,"-6,7","-8,5","-7,55",C[C@H]1NCC2=CC(=CC=C12)C1=CC=C2C(=O)C(=CN(C3CC3)C2=C1OC(F)F)C(O)=O,Garenoxacin
db3984,DB06163,"-8,6","-8,7","-8,65",CC1=NC(=O)C2=CC(CN(CC#C)C3=CC=C(C(=O)N[C@@H](CCC4=NN=NN4)C(O)=O)C(F)=C3)=C(C)C=C2N1,Plevitrexed
db3986,DB06169,"-9,4","-9,4","-9,40",ClC1=CC=C(CN2C=C(C(=O)C(=O)NC3=CC=NC=C3)C3=CC=CC=C23)C=C1,Indibulin
db3990,DB06178,"-9,4","-9,4","-9,40",NC1=NC(N)=C2N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCCNC(=O)C3=CC=CC=C3C(O)=O)C(O)=O)C=NC2=N1,Talotrexin
db3993,DB06188,"-6,8","-8,3","-7,51",CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=NC2=CC(Cl)=CC=C2C(=O)N1CC1=CC=CC=C1,Ispinesib
